Picture Number:   59	 QP:   22  [ PSNR-Y: 44.90 dB,	PSNR-U: 49.87 dB,	PSNR-V: 50.18 dB,	MSE-Y: 2.10,	MSE-U: 0.67,	MSE-V: 0.62,	SSIM-Y: 0.99404,	SSIM-U: 0.99425,	SSIM-V: 0.99418 ]	     66 bytes
Picture Number:   60	 QP:   19  [ PSNR-Y: 45.60 dB,	PSNR-U: 50.00 dB,	PSNR-V: 50.53 dB,	MSE-Y: 1.79,	MSE-U: 0.65,	MSE-V: 0.58,	SSIM-Y: 0.99426,	SSIM-U: 0.99454,	SSIM-V: 0.99467 ]	      5 bytes
Picture Number:   61	 QP:   22  [ PSNR-Y: 45.23 dB,	PSNR-U: 50.19 dB,	PSNR-V: 50.49 dB,	MSE-Y: 1.95,	MSE-U: 0.62,	MSE-V: 0.58,	SSIM-Y: 0.99415,	SSIM-U: 0.99459,	SSIM-V: 0.99463 ]	    144 bytes
Picture Number:   62	 QP:   21  [ PSNR-Y: 45.76 dB,	PSNR-U: 50.23 dB,	PSNR-V: 50.65 dB,	MSE-Y: 1.73,	MSE-U: 0.62,	MSE-V: 0.56,	SSIM-Y: 0.99432,	SSIM-U: 0.99451,	SSIM-V: 0.99468 ]	      5 bytes
Picture Number:   63	 QP:   22  [ PSNR-Y: 46.03 dB,	PSNR-U: 50.18 dB,	PSNR-V: 50.49 dB,	MSE-Y: 1.62,	MSE-U: 0.62,	MSE-V: 0.58,	SSIM-Y: 0.99465,	SSIM-U: 0.99439,	SSIM-V: 0.99460 ]	     32 bytes
Picture Number:   64	 QP:    8  [ PSNR-Y: 47.11 dB,	PSNR-U: 50.19 dB,	PSNR-V: 50.49 dB,	MSE-Y: 1.26,	MSE-U: 0.62,	MSE-V: 0.58,	SSIM-Y: 0.99495,	SSIM-U: 0.99442,	SSIM-V: 0.99451 ]	      5 bytes
Picture Number:   65	 QP:   22  [ PSNR-Y: 45.98 dB,	PSNR-U: 50.05 dB,	PSNR-V: 50.39 dB,	MSE-Y: 1.64,	MSE-U: 0.64,	MSE-V: 0.59,	SSIM-Y: 0.99454,	SSIM-U: 0.99421,	SSIM-V: 0.99445 ]	   3040 bytes
Picture Number:   66	 QP:   21  [ PSNR-Y: 45.56 dB,	PSNR-U: 49.86 dB,	PSNR-V: 50.36 dB,	MSE-Y: 1.81,	MSE-U: 0.67,	MSE-V: 0.60,	SSIM-Y: 0.99412,	SSIM-U: 0.99417,	SSIM-V: 0.99444 ]	      5 bytes
Picture Number:   67	 QP:   22  [ PSNR-Y: 44.39 dB,	PSNR-U: 49.61 dB,	PSNR-V: 50.37 dB,	MSE-Y: 2.37,	MSE-U: 0.71,	MSE-V: 0.60,	SSIM-Y: 0.99341,	SSIM-U: 0.99403,	SSIM-V: 0.99437 ]	     59 bytes
Picture Number:   68	 QP:   19  [ PSNR-Y: 45.11 dB,	PSNR-U: 49.30 dB,	PSNR-V: 50.24 dB,	MSE-Y: 2.00,	MSE-U: 0.76,	MSE-V: 0.62,	SSIM-Y: 0.99369,	SSIM-U: 0.99389,	SSIM-V: 0.99429 ]	      5 bytes
Picture Number:   69	 QP:   22  [ PSNR-Y: 44.35 dB,	PSNR-U: 49.16 dB,	PSNR-V: 50.10 dB,	MSE-Y: 2.39,	MSE-U: 0.79,	MSE-V: 0.63,	SSIM-Y: 0.99320,	SSIM-U: 0.99376,	SSIM-V: 0.99415 ]	    252 bytes
Picture Number:   70	 QP:   21  [ PSNR-Y: 44.73 dB,	PSNR-U: 49.17 dB,	PSNR-V: 49.84 dB,	MSE-Y: 2.19,	MSE-U: 0.79,	MSE-V: 0.68,	SSIM-Y: 0.99364,	SSIM-U: 0.99361,	SSIM-V: 0.99381 ]	      5 bytes
Picture Number:   71	 QP:   22  [ PSNR-Y: 43.97 dB,	PSNR-U: 49.05 dB,	PSNR-V: 49.64 dB,	MSE-Y: 2.61,	MSE-U: 0.81,	MSE-V: 0.71,	SSIM-Y: 0.99304,	SSIM-U: 0.99345,	SSIM-V: 0.99365 ]	     98 bytes
Picture Number:   72	 QP:   15  [ PSNR-Y: 45.49 dB,	PSNR-U: 48.68 dB,	PSNR-V: 49.45 dB,	MSE-Y: 1.84,	MSE-U: 0.88,	MSE-V: 0.74,	SSIM-Y: 0.99393,	SSIM-U: 0.99283,	SSIM-V: 0.99355 ]	      5 bytes
Picture Number:   73	 QP:   22  [ PSNR-Y: 44.34 dB,	PSNR-U: 48.79 dB,	PSNR-V: 49.20 dB,	MSE-Y: 2.39,	MSE-U: 0.86,	MSE-V: 0.78,	SSIM-Y: 0.99356,	SSIM-U: 0.99282,	SSIM-V: 0.99318 ]	    712 bytes
Picture Number:   74	 QP:   21  [ PSNR-Y: 44.56 dB,	PSNR-U: 48.50 dB,	PSNR-V: 49.16 dB,	MSE-Y: 2.27,	MSE-U: 0.92,	MSE-V: 0.79,	SSIM-Y: 0.99355,	SSIM-U: 0.99240,	SSIM-V: 0.99306 ]	      5 bytes
Picture Number:   75	 QP:   22  [ PSNR-Y: 44.22 dB,	PSNR-U: 48.58 dB,	PSNR-V: 49.10 dB,	MSE-Y: 2.46,	MSE-U: 0.90,	MSE-V: 0.80,	SSIM-Y: 0.99342,	SSIM-U: 0.99229,	SSIM-V: 0.99283 ]	     53 bytes
Picture Number:   76	 QP:   19  [ PSNR-Y: 44.60 dB,	PSNR-U: 48.66 dB,	PSNR-V: 49.04 dB,	MSE-Y: 2.25,	MSE-U: 0.89,	MSE-V: 0.81,	SSIM-Y: 0.99337,	SSIM-U: 0.99253,	SSIM-V: 0.99277 ]	      5 bytes
Picture Number:   77	 QP:   22  [ PSNR-Y: 44.04 dB,	PSNR-U: 49.08 dB,	PSNR-V: 49.62 dB,	MSE-Y: 2.56,	MSE-U: 0.80,	MSE-V: 0.71,	SSIM-Y: 0.99308,	SSIM-U: 0.99333,	SSIM-V: 0.99360 ]	    327 bytes
Picture Number:   78	 QP:   21  [ PSNR-Y: 44.86 dB,	PSNR-U: 49.57 dB,	PSNR-V: 50.12 dB,	MSE-Y: 2.12,	MSE-U: 0.72,	MSE-V: 0.63,	SSIM-Y: 0.99355,	SSIM-U: 0.99371,	SSIM-V: 0.99423 ]	      5 bytes
Picture Number:   79	 QP:   22  [ PSNR-Y: 44.77 dB,	PSNR-U: 49.93 dB,	PSNR-V: 50.40 dB,	MSE-Y: 2.17,	MSE-U: 0.66,	MSE-V: 0.59,	SSIM-Y: 0.99341,	SSIM-U: 0.99417,	SSIM-V: 0.99449 ]	     85 bytes
Picture Number:   80	 QP:    8  [ PSNR-Y: 46.14 dB,	PSNR-U: 50.09 dB,	PSNR-V: 50.69 dB,	MSE-Y: 1.58,	MSE-U: 0.64,	MSE-V: 0.55,	SSIM-Y: 0.99436,	SSIM-U: 0.99429,	SSIM-V: 0.99478 ]	      5 bytes
Picture Number:   81	 QP:   22  [ PSNR-Y: 44.91 dB,	PSNR-U: 49.74 dB,	PSNR-V: 50.56 dB,	MSE-Y: 2.10,	MSE-U: 0.69,	MSE-V: 0.57,	SSIM-Y: 0.99365,	SSIM-U: 0.99376,	SSIM-V: 0.99470 ]	   2286 bytes
