Picture Number:   30	 QP:   35  [ PSNR-Y: 41.85 dB,	PSNR-U: 46.85 dB,	PSNR-V: 47.84 dB,	MSE-Y: 4.24,	MSE-U: 1.34,	MSE-V: 1.07,	SSIM-Y: 0.98928,	SSIM-U: 0.99057,	SSIM-V: 0.99079 ]	      5 bytes
Picture Number:   31	 QP:   37  [ PSNR-Y: 42.38 dB,	PSNR-U: 46.95 dB,	PSNR-V: 47.70 dB,	MSE-Y: 3.76,	MSE-U: 1.31,	MSE-V: 1.10,	SSIM-Y: 0.98984,	SSIM-U: 0.99027,	SSIM-V: 0.99046 ]	     23 bytes
Picture Number:   32	 QP:   17  [ PSNR-Y: 43.53 dB,	PSNR-U: 47.24 dB,	PSNR-V: 48.01 dB,	MSE-Y: 2.88,	MSE-U: 1.23,	MSE-V: 1.03,	SSIM-Y: 0.99060,	SSIM-U: 0.99090,	SSIM-V: 0.99109 ]	      5 bytes
Picture Number:   33	 QP:   37  [ PSNR-Y: 42.40 dB,	PSNR-U: 47.20 dB,	PSNR-V: 47.86 dB,	MSE-Y: 3.75,	MSE-U: 1.24,	MSE-V: 1.06,	SSIM-Y: 0.98973,	SSIM-U: 0.99102,	SSIM-V: 0.99106 ]	   1806 bytes
Picture Number:   34	 QP:   35  [ PSNR-Y: 41.77 dB,	PSNR-U: 47.23 dB,	PSNR-V: 47.98 dB,	MSE-Y: 4.32,	MSE-U: 1.23,	MSE-V: 1.03,	SSIM-Y: 0.98928,	SSIM-U: 0.99124,	SSIM-V: 0.99119 ]	      5 bytes
Picture Number:   35	 QP:   37  [ PSNR-Y: 41.26 dB,	PSNR-U: 46.80 dB,	PSNR-V: 47.82 dB,	MSE-Y: 4.87,	MSE-U: 1.36,	MSE-V: 1.07,	SSIM-Y: 0.98844,	SSIM-U: 0.99067,	SSIM-V: 0.99076 ]	     38 bytes
Picture Number:   36	 QP:   32  [ PSNR-Y: 41.44 dB,	PSNR-U: 46.77 dB,	PSNR-V: 47.65 dB,	MSE-Y: 4.66,	MSE-U: 1.37,	MSE-V: 1.12,	SSIM-Y: 0.98849,	SSIM-U: 0.99069,	SSIM-V: 0.99070 ]	      5 bytes
Picture Number:   37	 QP:   37  [ PSNR-Y: 40.39 dB,	PSNR-U: 46.86 dB,	PSNR-V: 47.65 dB,	MSE-Y: 5.94,	MSE-U: 1.34,	MSE-V: 1.12,	SSIM-Y: 0.98725,	SSIM-U: 0.99043,	SSIM-V: 0.99032 ]	    110 bytes
Picture Number:   38	 QP:   35  [ PSNR-Y: 41.08 dB,	PSNR-U: 46.73 dB,	PSNR-V: 47.87 dB,	MSE-Y: 5.08,	MSE-U: 1.38,	MSE-V: 1.06,	SSIM-Y: 0.98811,	SSIM-U: 0.99038,	SSIM-V: 0.99067 ]	      5 bytes
Picture Number:   39	 QP:   37  [ PSNR-Y: 41.46 dB,	PSNR-U: 46.49 dB,	PSNR-V: 47.95 dB,	MSE-Y: 4.65,	MSE-U: 1.46,	MSE-V: 1.04,	SSIM-Y: 0.98864,	SSIM-U: 0.99067,	SSIM-V: 0.99089 ]	     31 bytes
